01/2006, Arrival, Domestic, 19748, 1680997
07/2009, Departure, International, 3964, 738947
08/2009, Arrival, Domestic, 18717, 1970189
08/2009, Arrival, International, 3912, 769197
08/2009, Departure, Domestic, 18748, 1997797
08/2009, Departure, International, 3934, 700259
09/2009, Arrival, Domestic, 17004, 1650222
09/2009, Arrival, International, 3453, 616719
09/2009, Departure, Domestic, 17014, 1635442
09/2009, Departure, International, 3454, 608476
10/2009, Arrival, Domestic, 17707, 1756976
10/2009, Arrival, International, 3592, 614514
10/2009, Departure, Domestic, 17760, 1736330
10/2009, Departure, International, 3589, 653812
11/2009, Arrival, Domestic, 16895, 1614308
11/2009, Arrival, International, 3508, 577357
11/2009, Departure, Domestic, 16921, 1631268
11/2009, Departure, International, 3506, 596776
12/2009, Arrival, Domestic, 17669, 1744179
12/2009, Arrival, International, 3922, 660295
12/2009, Departure, Domestic, 17677, 1730037
12/2009, Departure, International, 3920, 692281
01/2010, Arrival, Domestic, 17502, 1593256
01/2010, Arrival, International, 3894, 697471
01/2010, Departure, Domestic, 17380, 1651819
01/2010, Departure, International, 3889, 667174
02/2010, Arrival, Domestic, 15735, 1415817
02/2010, Arrival, International, 3375, 558829
02/2010, Departure, Domestic, 15791, 1416109
02/2010, Departure, International, 3374, 569564
03/2010, Arrival, Domestic, 18182, 1752873
03/2010, Arrival, International, 3732, 645331
03/2010, Departure, Domestic, 18254, 1780086
03/2010, Departure, International, 3728, 633736
04/2010, Arrival, Domestic, 17683, 1706763
04/2010, Arrival, International, 3688, 637520
04/2010, Departure, Domestic, 17672, 1733082
04/2010, Departure, International, 3679, 609581
05/2010, Arrival, Domestic, 18362, 1828198
05/2010, Arrival, International, 3779, 656403
05/2010, Departure, Domestic, 18375, 1798273
05/2010, Departure, International, 3776, 673722
06/2010, Arrival, Domestic, 18596, 1928348
06/2010, Arrival, International, 3820, 692430
06/2010, Departure, Domestic, 18715, 1959412
06/2010, Departure, International, 3827, 731204
07/2010, Arrival, Domestic, 19405, 2082961
07/2010, Arrival, International, 4194, 786219
07/2010, Departure, Domestic, 19416, 2060913
07/2010, Departure, International, 4169, 762768
08/2010, Arrival, Domestic, 19329, 2035882
08/2010, Arrival, International, 4013, 783587
08/2010, Departure, Domestic, 19328, 2066077
08/2010, Departure, International, 4008, 732300
09/2010, Arrival, Domestic, 17647, 1726590
09/2010, Arrival, International, 3339, 638557
09/2010, Departure, Domestic, 17645, 1706102
09/2010, Departure, International, 3332, 624146
10/2010, Arrival, Domestic, 18190, 1841152
10/2010, Arrival, International, 3493, 636998
10/2010, Departure, Domestic, 18175, 1841525
10/2010, Departure, International, 3487, 668410
11/2010, Arrival, Domestic, 17246, 1746052
11/2010, Arrival, International, 3419, 595722
11/2010, Departure, Domestic, 17325, 1737849
11/2010, Departure, International, 3409, 609459
12/2010, Arrival, Domestic, 18006, 1823952
12/2010, Arrival, International, 3707, 653674
12/2010, Departure, Domestic, 17923, 1901054
12/2010, Departure, International, 3706, 671177
01/2011, Arrival, Domestic, 17653, 1665247
01/2011, Arrival, International, 3779, 682470
01/2011, Departure, Domestic, 17668, 1645789
01/2011, Departure, International, 3780, 669675
02/2011, Arrival, Domestic, 15989, 1505581
02/2011, Arrival, International, 3397, 562011
02/2011, Departure, Domestic, 16000, 1484158
02/2011, Departure, International, 3391, 569786
03/2011, Arrival, Domestic, 18638, 1806390
03/2011, Arrival, International, 3839, 668300
03/2011, Departure, Domestic, 18623, 1827977
03/2011, Departure, International, 3840, 649132
04/2011, Arrival, Domestic, 18537, 1871781
04/2011, Arrival, International, 3971, 682844
04/2011, Departure, Domestic, 18700, 1809340
04/2011, Departure, International, 3795, 664251
05/2011, Arrival, Domestic, 19493, 2035228
05/2011, Arrival, International, 3898, 710961
05/2011, Departure, Domestic, 19490, 1992123
05/2011, Departure, International, 3895, 738752
06/2011, Arrival, Domestic, 20082, 2060373
06/2011, Arrival, International, 3958, 723535
06/2011, Departure, Domestic, 20066, 2078817
06/2011, Departure, International, 3946, 768991
07/2011, Arrival, Domestic, 20953, 2220292
07/2011, Arrival, International, 4241, 839486
07/2011, Departure, Domestic, 20934, 2199466
07/2011, Departure, International, 4241, 812098
08/2011, Arrival, Domestic, 20844, 2137038
08/2011, Arrival, International, 4191, 832077
08/2011, Departure, Domestic, 20829, 2174589
08/2011, Departure, International, 4183, 774820
09/2011, Arrival, Domestic, 18755, 1802677
09/2011, Arrival, International, 3827, 687360
09/2011, Departure, Domestic, 18738, 1803172
09/2011, Departure, International, 3818, 687111
10/2011, Arrival, Domestic, 19221, 1850461
10/2011, Arrival, International, 3885, 670059
10/2011, Departure, Domestic, 19226, 1895030
10/2011, Departure, International, 3879, 709054
11/2011, Arrival, Domestic, 18286, 1812618
11/2011, Arrival, International, 3555, 611134
11/2011, Departure, Domestic, 18280, 1814237
11/2011, Departure, International, 3551, 627117
12/2011, Arrival, Domestic, 19193, 1821549
12/2011, Arrival, International, 3823, 679575
12/2011, Departure, Domestic, 19163, 1816795
12/2011, Departure, International, 3819, 710725
01/2012, Arrival, Domestic, 18512, 1754450
01/2012, Arrival, International, 3782, 716873
01/2012, Departure, Domestic, 18510, 1746646
01/2012, Departure, International, 3800, 695520
02/2012, Arrival, Domestic, 17621, 1644543
02/2012, Arrival, International, 3314, 575903
02/2012, Departure, Domestic, 17653, 1648628
02/2012, Departure, International, 3345, 587438
03/2012, Arrival, Domestic, 19635, 1927974
03/2012, Arrival, International, 3805, 691618
03/2012, Departure, Domestic, 19643, 1952662
03/2012, Departure, International, 3791, 680303
04/2012, Arrival, Domestic, 18870, 1890031
04/2012, Arrival, International, 3725, 702145
04/2012, Departure, Domestic, 18867, 1892477
04/2012, Departure, International, 3718, 676475
05/2012, Arrival, Domestic, 19449, 1995512
05/2012, Arrival, International, 3769, 702539
05/2012, Departure, Domestic, 19451, 1975595
05/2012, Departure, International, 3766, 739300
06/2012, Arrival, Domestic, 20020, 2081042
06/2012, Arrival, International, 3789, 761203
06/2012, Departure, Domestic, 20012, 2100330
06/2012, Departure, International, 3794, 797329
07/2012, Arrival, Domestic, 21121, 2269491
07/2012, Arrival, International, 4137, 849735
07/2012, Departure, Domestic, 20999, 2236454
07/2012, Departure, International, 4145, 834646
08/2012, Arrival, Domestic, 20844, 2207925
08/2012, Arrival, International, 4086, 841665
08/2012, Departure, Domestic, 20826, 2244139
08/2012, Departure, International, 4085, 799616
09/2012, Arrival, Domestic, 18600, 1817065
09/2012, Arrival, International, 3627, 720244
09/2012, Departure, Domestic, 18608, 1817623
09/2012, Departure, International, 3627, 699325
10/2012, Arrival, Domestic, 18871, 1925911
10/2012, Arrival, International, 3614, 672519
10/2012, Departure, Domestic, 18861, 1876315
10/2012, Departure, International, 3605, 716726
11/2012, Arrival, Domestic, 18037, 1830788
11/2012, Arrival, International, 3348, 631994
11/2012, Departure, Domestic, 18044, 1835822
11/2012, Departure, International, 3346, 645069
12/2012, Arrival, Domestic, 18648, 1927269
12/2012, Arrival, International, 3751, 692547
12/2012, Departure, Domestic, 18686, 1936515
12/2012, Departure, International, 3735, 722182
01/2013, Arrival, Domestic, 18101, 1814534
01/2013, Arrival, International, 3707, 720884
01/2013, Departure, Domestic, 18093, 1816560
01/2013, Departure, International, 3715, 698758
02/2013, Arrival, Domestic, 16410, 1643647
02/2013, Arrival, International, 3249, 586311
02/2013, Departure, Domestic, 16420, 1658050
02/2013, Departure, International, 3225, 594283
03/2013, Arrival, Domestic, 19094, 2041425
03/2013, Arrival, International, 3718, 713548
03/2013, Departure, Domestic, 19077, 2095486
03/2013, Departure, International, 3715, 695064
04/2013, Arrival, Domestic, 18715, 1957016
04/2013, Arrival, International, 3658, 706563
04/2013, Departure, Domestic, 18759, 1970671
04/2013, Departure, International, 3642, 676247
05/2013, Arrival, Domestic, 19732, 2106086
05/2013, Arrival, International, 3823, 730484
05/2013, Departure, Domestic, 19753, 2104728
05/2013, Departure, International, 3834, 772658
06/2013, Arrival, Domestic, 20465, 2243992
06/2013, Arrival, International, 3944, 793281
06/2013, Departure, Domestic, 20474, 2263513
06/2013, Departure, International, 3924, 813728
07/2013, Arrival, Domestic, 21465, 2361983
07/2013, Arrival, International, 4387, 910380
07/2013, Departure, Domestic, 21440, 2327759
07/2013, Departure, International, 4397, 868856
08/2013, Arrival, Domestic, 21098, 2257989
08/2013, Arrival, International, 4313, 898984
08/2013, Departure, Domestic, 21085, 2313796
08/2013, Departure, International, 4325, 859399
09/2013, Arrival, Domestic, 19480, 1908668
09/2013, Arrival, International, 3826, 755106
09/2013, Departure, Domestic, 19480, 1906759
09/2013, Departure, International, 3835, 737720
10/2013, Arrival, Domestic, 20128, 2051578
10/2013, Arrival, International, 3837, 704808
10/2013, Departure, Domestic, 20144, 1995114
10/2013, Departure, International, 3846, 764305
11/2013, Arrival, Domestic, 18808, 1856371
11/2013, Arrival, International, 3571, 661042
11/2013, Departure, Domestic, 18790, 1860701
11/2013, Departure, International, 3571, 678891
12/2013, Arrival, Domestic, 20137, 2163069
12/2013, Arrival, International, 3896, 744410
12/2013, Departure, Domestic, 20096, 2096023
12/2013, Departure, International, 3894, 766429
01/2014, Arrival, Domestic, 19369, 1943752
01/2014, Arrival, International, 3919, 785505
01/2014, Departure, Domestic, 19389, 1933918
01/2014, Departure, International, 3911, 756442
02/2014, Arrival, Domestic, 17341, 1744866
02/2014, Arrival, International, 3422, 634128
02/2014, Departure, Domestic, 17331, 1738829
02/2014, Departure, International, 3427, 648161
03/2014, Arrival, Domestic, 20198, 2121972
03/2014, Arrival, International, 4001, 757091
03/2014, Departure, Domestic, 20226, 2156455
03/2014, Departure, International, 4004, 749576
04/2014, Arrival, Domestic, 19595, 2126112
04/2014, Arrival, International, 3912, 788282
04/2014, Departure, Domestic, 19654, 2104329
04/2014, Departure, International, 3922, 741414
05/2014, Arrival, Domestic, 20498, 2219582
05/2014, Arrival, International, 4108, 811229
05/2014, Departure, Domestic, 20501, 2207028
05/2014, Departure, International, 4130, 843170
06/2014, Arrival, Domestic, 21005, 2389019
06/2014, Arrival, International, 4306, 856302
06/2014, Departure, Domestic, 20993, 2376831
06/2014, Departure, International, 4331, 901895
07/2014, Arrival, Domestic, 22128, 2514887
07/2014, Arrival, International, 4648, 961899
07/2014, Departure, Domestic, 22119, 2481619
07/2014, Departure, International, 4683, 913672
08/2014, Arrival, Domestic, 21568, 2381472
08/2014, Arrival, International, 4525, 949852
08/2014, Departure, Domestic, 21533, 2454341
08/2014, Departure, International, 4588, 931975
09/2014, Arrival, Domestic, 19746, 2018450
09/2014, Arrival, International, 3933, 775513
09/2014, Departure, Domestic, 19715, 2017373
09/2014, Departure, International, 3955, 762124
10/2014, Arrival, Domestic, 20614, 2185021
10/2014, Arrival, International, 3904, 740737
10/2014, Departure, Domestic, 20347, 2136284
10/2014, Departure, International, 4034, 803844
11/2014, Arrival, Domestic, 18973, 1990207
11/2014, Arrival, International, 3633, 684659
11/2014, Departure, Domestic, 18866, 1978844
11/2014, Departure, International, 3756, 726735
12/2014, Arrival, Domestic, 19571, 2192902
12/2014, Arrival, International, 4023, 770888
12/2014, Departure, Domestic, 19448, 2146109
12/2014, Departure, International, 4131, 811657
01/2015, Arrival, Domestic, 18960, 1938470
01/2015, Arrival, International, 4056, 796405
01/2015, Departure, Domestic, 18897, 1917370
01/2015, Departure, International, 4149, 786949
02/2015, Arrival, Domestic, 17083, 1810148
02/2015, Arrival, International, 3462, 657636
02/2015, Departure, Domestic, 17008, 1781751
02/2015, Departure, International, 3558, 701060
03/2015, Arrival, Domestic, 19796, 2191589
03/2015, Arrival, International, 3987, 790872
03/2015, Departure, Domestic, 19714, 2246773
03/2015, Departure, International, 4074, 797363
04/2015, Arrival, Domestic, 19692, 2165733
04/2015, Arrival, International, 4179, 810184
04/2015, Departure, Domestic, 19899, 2179472
04/2015, Departure, International, 4224, 782926
05/2015, Arrival, Domestic, 20404, 2319619
05/2015, Arrival, International, 4443, 845993
05/2015, Departure, Domestic, 20341, 2302737
05/2015, Departure, International, 4502, 888628
06/2015, Arrival, Domestic, 20771, 2420200
06/2015, Arrival, International, 4650, 910337
06/2015, Departure, Domestic, 20723, 2483044
06/2015, Departure, International, 4691, 976697
07/2015, Arrival, Domestic, 21698, 2602472
07/2015, Arrival, International, 5069, 1074103
07/2015, Departure, Domestic, 21669, 2577069
07/2015, Departure, International, 5134, 1021875
08/2015, Arrival, Domestic, 21395, 2489577
08/2015, Arrival, International, 4988, 1066557
08/2015, Departure, Domestic, 21360, 2534501
08/2015, Departure, International, 5047, 1018539
09/2015, Arrival, Domestic, 19552, 2139533
09/2015, Arrival, International, 4446, 872244
09/2015, Departure, Domestic, 19523, 2144316
09/2015, Departure, International, 4504, 870977
10/2015, Arrival, Domestic, 20325, 2337021
10/2015, Arrival, International, 4497, 833715
10/2015, Departure, Domestic, 20244, 2293899
10/2015, Departure, International, 4562, 910417
11/2015, Arrival, Domestic, 19260, 2231898
11/2015, Arrival, International, 4160, 767943
11/2015, Departure, Domestic, 19205, 2218352
11/2015, Departure, International, 4149, 798796
12/2015, Arrival, Domestic, 20189, 2349989
12/2015, Arrival, International, 4546, 846657
12/2015, Departure, Domestic, 20142, 2305814
12/2015, Departure, International, 4529, 892506
01/2016, Arrival, Domestic, 19484, 2153065
01/2016, Arrival, International, 4524, 906409
01/2016, Departure, Domestic, 19504, 2143042
01/2016, Departure, International, 4505, 866193
02/2016, Arrival, Domestic, 18446, 1980706
02/2016, Arrival, International, 4087, 741163
02/2016, Departure, Domestic, 18440, 1979617
02/2016, Departure, International, 4148, 765357
03/2016, Arrival, Domestic, 20588, 2339405
03/2016, Arrival, International, 4545, 863095
03/2016, Departure, Domestic, 20555, 2398459
03/2016, Departure, International, 4569, 875315
04/2016, Arrival, Domestic, 19993, 2287978
04/2016, Arrival, International, 4557, 883135
04/2016, Departure, Domestic, 20046, 2295919
04/2016, Departure, International, 4528, 838733
05/2016, Arrival, Domestic, 20902, 2471441
05/2016, Arrival, International, 4869, 907521
05/2016, Departure, Domestic, 21277, 2447861
05/2016, Departure, International, 4871, 957178
06/2016, Arrival, Domestic, 22326, 2686925
06/2016, Arrival, International, 5055, 1010104
06/2016, Departure, Domestic, 22363, 2732767
06/2016, Departure, International, 4997, 1059882
07/2016, Arrival, Domestic, 22950, 2806180
07/2016, Arrival, International, 5554, 1179359
07/2016, Departure, Domestic, 22994, 2777786
07/2016, Departure, International, 5539, 1126070
08/2016, Arrival, Domestic, 22989, 2669054
08/2016, Arrival, International, 5403, 1142418
08/2016, Departure, Domestic, 22996, 2690124
08/2016, Departure, International, 5459, 1093414
09/2016, Arrival, Domestic, 20722, 2335093
09/2016, Arrival, International, 4830, 958906
09/2016, Departure, Domestic, 20750, 2349776
09/2016, Departure, International, 4877, 959341
10/2016, Arrival, Domestic, 21437, 2473246
10/2016, Arrival, International, 4943, 932996
10/2016, Departure, Domestic, 21392, 2463359
10/2016, Departure, International, 4996, 995637
11/2016, Arrival, Domestic, 20604, 2371611
11/2016, Arrival, International, 4619, 855626
11/2016, Departure, Domestic, 20624, 2363974
11/2016, Departure, International, 4681, 904907
12/2016, Arrival, Domestic, 21242, 2455885
12/2016, Arrival, International, 5339, 951326
12/2016, Departure, Domestic, 21253, 2409799
12/2016, Departure, International, 5365, 1055251
01/2017, Arrival, Domestic, 41196, 2222270
01/2017, Arrival, International, 10404, 1043234
01/2017, Departure, Domestic, 41362, 2227164
01/2017, Departure, International, 10384, 951919
02/2017, Arrival, Domestic, 18472, 1993331
02/2017, Arrival, International, 4564, 787007
02/2017, Departure, Domestic, 18435, 2005846
02/2017, Departure, International, 4611, 818060
03/2017, Arrival, Domestic, 21525, 2446944
03/2017, Arrival, International, 5144, 923186
03/2017, Departure, Domestic, 21493, 2460654
03/2017, Departure, International, 5193, 948616
04/2017, Arrival, Domestic, 20523, 2417101
04/2017, Arrival, International, 5239, 1029813
04/2017, Departure, Domestic, 20510, 2453034
04/2017, Departure, International, 5246, 974289
05/2017, Arrival, Domestic, 21429, 2545669
05/2017, Arrival, International, 5416, 1011467
05/2017, Departure, Domestic, 21381, 2539664
05/2017, Departure, International, 5457, 1070651
06/2017, Arrival, Domestic, 22004, 2686810
06/2017, Arrival, International, 5562, 1083180
06/2017, Departure, Domestic, 21964, 2769642
06/2017, Departure, International, 5616, 1187250
07/2017, Arrival, Domestic, 22676, 2827174
07/2017, Arrival, International, 6018, 1281493
07/2017, Departure, Domestic, 22596, 2835317
07/2017, Departure, International, 6072, 1232045
08/2017, Arrival, Domestic, 22602, 2729430
08/2017, Arrival, International, 5872, 1237864
08/2017, Departure, Domestic, 22670, 2780263
08/2017, Departure, International, 5922, 1182525
